" ","United Arab Emirates","","Australia","","Canada","","China, People's Republic of","","Germany","","Fiji","","France","","United Kingdom","","Hong Kong (Special Administrative Region)","","Ireland","","India","","Japan","","Korea, Republic of","","Sri Lanka","","Malaysia","","Philippines","","Singapore","","Thailand","","United States of America","","Viet Nam","","Samoa","","South Africa","","Not Stated","","Total All Countries of Last Permanent Residence","","United Arab Emirates","","Australia","","Canada","","China, People's Republic of","","Germany","","Fiji","","France","","United Kingdom","","Hong Kong (Special Administrative Region)","","Ireland","","India","","Japan","","Korea, Republic of","","Sri Lanka","","Malaysia","","Philippines","","Singapore","","Thailand","","United States of America","","Viet Nam","","Samoa","","South Africa","","Not Stated","","Total All Countries of Last Permanent Residence",""
" ","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate","Estimate","Standard error of estimate"
"2003M06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003M07",25,0,47,0,3,0,240,0,4,0,98,0,4,0,210,0,23,0,5,0,284,0,9,0,33,0,10,0,43,0,60,0,19,0,16,0,26,0,7,0,33,0,43,0,419,0,1894,0,0,0,15,0,22,0,59,0,18,0,15,0,6,0,251,0,3,0,16,0,36,0,53,0,16,0,1,0,6,0,1,0,4,0,4,0,55,0,1,0,0,0,21,0,43,0,747,0
"2003M08",12,0,21,0,7,0,182,0,1,0,124,0,4,0,336,0,17,0,1,0,303,0,4,0,28,0,25,0,33,0,32,0,17,0,3,0,47,0,1,0,42,0,64,0,303,0,1926,0,2,0,12,0,20,0,46,0,13,0,26,0,6,0,279,0,1,0,29,0,25,0,28,0,14,0,1,0,2,0,2,0,2,0,8,0,51,0,0,0,0,0,30,0,40,0,745,0
"2003M09",21,0,18,0,13,0,235,0,20,0,112,0,0,0,405,0,13,0,4,0,223,0,6,0,28,0,12,0,31,0,35,0,4,0,2,0,18,0,0,0,38,0,47,0,257,0,1741,0,0,0,12,0,16,0,26,0,14,0,19,0,10,0,355,0,1,0,26,0,15,0,64,0,22,0,1,0,3,0,2,0,1,0,6,0,53,0,3,0,0,0,25,0,61,0,842,0
"2003M10",13,0,34,0,4,0,215,0,11,0,69,0,4,0,406,0,11,0,3,0,210,0,7,0,14,0,9,0,48,0,48,0,13,0,4,0,24,0,6,0,37,0,46,0,312,0,1829,0,0,0,18,0,24,0,24,0,20,0,14,0,15,0,354,0,1,0,34,0,29,0,52,0,20,0,3,0,4,0,1,0,1,0,7,0,67,0,1,0,1,0,27,0,56,0,873,0
"2003M11",11,0,42,0,9,0,185,0,7,0,115,0,9,0,476,0,13,0,7,0,215,0,3,0,22,0,9,0,55,0,40,0,36,0,4,0,25,0,8,0,22,0,41,0,301,0,1834,0,0,0,21,0,14,0,15,0,16,0,20,0,6,0,372,0,2,0,35,0,41,0,47,0,30,0,1,0,5,0,1,0,2,0,5,0,44,0,1,0,3,0,34,0,60,0,868,0
"2003M12",19,0,49,0,3,0,152,0,5,0,149,0,2,0,342,0,3,0,5,0,121,0,4,0,26,0,23,0,28,0,21,0,16,0,3,0,28,0,9,0,63,0,38,0,320,0,1692,0,2,0,9,0,15,0,27,0,8,0,14,0,4,0,273,0,1,0,29,0,31,0,34,0,13,0,1,0,2,0,2,0,2,0,10,0,20,0,0,0,4,0,26,0,46,0,674,0
"2004M01",26,0,50,0,2,0,185,0,8,0,150,0,5,0,515,0,21,0,3,0,125,0,12,0,23,0,27,0,97,0,15,0,39,0,6,0,25,0,1,0,54,0,74,0,433,0,2100,0,2,0,17,0,20,0,20,0,22,0,31,0,11,0,539,0,1,0,39,0,23,0,44,0,17,0,3,0,0,0,4,0,12,0,5,0,62,0,1,0,4,0,29,0,72,0,1101,0
"2004M02",8,0,35,0,3,0,232,0,4,0,91,0,1,0,201,0,28,0,7,0,185,0,6,0,14,0,23,0,40,0,11,0,15,0,8,0,17,0,3,0,67,0,44,0,548,0,1744,0,0,0,17,0,13,0,27,0,20,0,9,0,6,0,327,0,1,0,33,0,32,0,29,0,13,0,2,0,2,0,1,0,5,0,4,0,40,0,7,0,5,0,31,0,55,0,763,0
"2004M03",26,0,34,0,8,0,132,0,1,0,67,0,0,0,144,0,6,0,1,0,91,0,2,0,18,0,9,0,26,0,21,0,15,0,6,0,19,0,1,0,73,0,50,0,284,0,1235,0,4,0,17,0,20,0,21,0,33,0,13,0,6,0,354,0,0,0,30,0,47,0,33,0,9,0,3,0,2,0,1,0,8,0,9,0,54,0,5,0,2,0,28,0,63,0,922,0
"2004M04",9,0,35,0,3,0,134,0,12,0,67,0,2,0,139,0,7,0,4,0,140,0,9,0,8,0,17,0,15,0,18,0,10,0,2,0,8,0,2,0,56,0,34,0,272,0,1103,0,3,0,7,0,18,0,12,0,14,0,8,0,15,0,247,0,2,0,19,0,39,0,64,0,7,0,4,0,5,0,6,0,7,0,4,0,34,0,2,0,4,0,12,0,48,0,652,0
"2004M05",14,0,28,0,8,0,85,0,5,0,87,0,0,0,100,0,9,0,0,0,138,0,2,0,6,0,5,0,26,0,15,0,18,0,3,0,19,0,3,0,98,0,38,0,280,0,1217,0,0,0,15,0,18,0,25,0,8,0,31,0,12,0,260,0,3,0,24,0,56,0,49,0,11,0,2,0,5,0,7,0,3,0,6,0,31,0,2,0,2,0,30,0,46,0,769,0
"2004M06",8,0,35,0,6,0,124,0,3,0,71,0,0,0,165,0,13,0,1,0,142,0,2,0,9,0,8,0,20,0,27,0,18,0,3,0,21,0,1,0,46,0,19,0,275,0,1160,0,4,0,14,0,17,0,15,0,16,0,18,0,12,0,318,0,1,0,33,0,38,0,39,0,11,0,3,0,5,0,1,0,2,0,12,0,67,0,4,0,3,0,27,0,48,0,800,0
